"Company 
(Maker-if known)",SpecificBeanOriginorBarName,REF,"Review
Date",CocoaPercent,CompanyLocation,Rating,"Bean
Type",BroadBeanOrigin,Secondary Origin,,,
Luker,Selva,552,2010,46%,Colombia,2.75, ,Colombia, Ecuador,,,
Luker,Macondo,552,2010,60%,Colombia,3, ,Colombia, Ecuador,,,
Luker,Misterio,552,2010,58%,Colombia,3, ,Colombia, Ecuador,,,
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5,Forastero,Congo,,,,
Zotter,"Kongo, Highlands",883,2012,68%,Austria,3.25,Forastero,Congo,,,,
Zotter,Congo,749,2011,65%,Austria,3,Forastero,Congo,,,,
Ocelot,Virunga,1558,2015,70%,Scotland,3.75,Forastero,Congo,,,,
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo,,,,
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Criollo,Congo,,,,
Original Beans (Felchlin),"D.R. Congo, Cru Virunga",331,2009,70%,Switzerland,3,Forastero,Congo,,,,
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,,,,
Raaka,Virunga,1708,2015,75%,U.S.A.,2.75,Forastero,Congo,,,,
Theo,Congo w/ nibs,903,2012,65%,U.S.A.,3.25,Forastero,Congo,,,,
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74%,U.S.A.,2.75, ,Costa Rica, Ven,,,
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75, ,Costa Rica,,,,
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5, ,Costa Rica,,,,
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72%,Costa Rica,3.25, ,Costa Rica,,,,
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5, ,Costa Rica,,,,
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3,Forastero,Costa Rica,,,,
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica,,,,
Nahua,"Costa Rica, Oscuro",1049,2013,58%,Costa Rica,2.5, ,Costa Rica,,,,
Nahua,"Costa Rica, Oscuro",1049,2013,70%,Costa Rica,3, ,Costa Rica,,,,
Sibu,Oro,1586,2015,82%,Costa Rica,3.25, ,Costa Rica,,,,
Sibu,Oscuro,1586,2015,70%,Costa Rica,3.5, ,Costa Rica,,,,
Roasting Masters,"La Dorado, light roast",1844,2016,70%,South Korea,3.25, ,Costa Rica,,,,
Roasting Masters,"Tapanti, light roast",1844,2016,70%,South Korea,3.25, ,Costa Rica,,,,
Roasting Masters,Maleku,1844,2016,70%,South Korea,3.25, ,Costa Rica,,,,
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25, ,Costa Rica,,,,
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4, ,Costa Rica,,,,
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5, ,Costa Rica,,,,
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5, ,Costa Rica,,,,
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5, ,Costa Rica,,,,
Dandelion,Upala,805,2012,70%,U.S.A.,3, ,Costa Rica,,,,
Dean and Deluca (Belcolade),Costa Rica,175,2007,64%,U.S.A.,3, ,Costa Rica,,,,
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica,,,,
Escazu,Guapiles,414,2009,65%,U.S.A.,2, ,Costa Rica,,,,
French Broad,San Andres,1209,2014,80%,U.S.A.,3, ,Costa Rica,,,,
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4,Amazon mix,Costa Rica,,,,
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica,,,,
Fruition,Costa Rica,781,2011,70%,U.S.A.,3, ,Costa Rica,,,,
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74%,U.S.A.,3.5,Amazon mix,Costa Rica,,,,
Letterpress,San Andres,1566,2015,70%,U.S.A.,3, ,Costa Rica,,,,
Madre,Upala,693,2011,70%,U.S.A.,2.75, ,Costa Rica,,,,
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75, ,Costa Rica,,,,
Mars,"Matina 1-6, prototype",537,2010,65%,U.S.A.,3, ,Costa Rica,,,,
Potomac,Upala w/ nibs,647,2011,70%,U.S.A.,3.5,Matina,Costa Rica,,,,
Potomac,"Upala, Batch 18",654,2011,70%,U.S.A.,3,Matina,Costa Rica,,,,
Potomac,"Upala, Batch 12",607,2010,82%,U.S.A.,3.75,Matina,Costa Rica,,,,
Ritual,Costa Rica,745,2011,75%,U.S.A.,3.5, ,Costa Rica,,,,
Tabal,Costa Rica,1101,2013,70%,U.S.A.,2.75, ,Costa Rica,,,,
Woodblock,Costa Rica,825,2012,70%,U.S.A.,3, ,Costa Rica,,,,
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica,,,,
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba,,,,
Pierre Marcolini,"Baracoa, Cuba",516,2010,78%,Belgium,3.75,"Criollo, Forastero",Cuba,,,,
A. Morin,Cuba,1315,2014,70%,France,3.5, ,Cuba,,,,
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba,,,,
Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,75%,France,3, ,Cuba,,,,
Laia aka Chat-Noir,Cuba,1434,2014,70%,France,2.75, ,Cuba,,,,
Pralus,Cuba,99,2006,75%,France,3,Trinitario,Cuba,,,,
Szanto Tibor,Baracoa,1704,2015,88%,Hungary,3.25,Trinitario,Cuba,,,,
Szanto Tibor,Baracoa,1263,2014,70%,Hungary,3.75,Trinitario,Cuba,,,,
C-Amaro,Cuba,1442,2014,75%,Italy,2.5, ,Cuba,,,,
Maglio,Cuba,308,2008,70%,Italy,3.25,Criollo,Cuba,,,,
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,70%,Canada,4,Blend,Domincan Republic, Madagascar,,,
Spencer,"Dominican Republic, lot D82R",1792,2016,70%,Australia,3.5, ,Domincan Republic,,,,
Soma,"Oko Caribe, Duarte P., Collab w Chocosol",1820,2016,62%,Canada,3.5, ,Domincan Republic,,,,
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Domincan Republic,,,,
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Domincan Republic,,,,
Hogarth,Conacado,1712,2016,75%,New Zealand,3.25,Trinitario,Domincan Republic,,,,
Forteza (Cortes),Dominican Republic,1776,2016,70%,Puerto Rico,2.75, ,Domincan Republic,,,,
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75, ,Domincan Republic,,,,
Seaforth,Dominican Republic,1658,2015,70%,U.K.,2.75, ,Domincan Republic,,,,
Solkiki,"Castillo, Hispaniola, unroasted",1840,2016,85%,U.K.,2.75, ,Domincan Republic,,,,
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5, ,Domincan Republic,,,,
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5, ,Domincan Republic,,,,
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75, ,Domincan Republic,,,,
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5, ,Domincan Republic,,,,
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic,,,,
Durci,Taino Secret,1630,2015,70%,U.S.A.,3.25, ,Domincan Republic,,,,
Letterpress,"La Red, Guaconejo",1566,2015,70%,U.S.A.,3.25, ,Domincan Republic,,,,
Mayacama,Hispaniola,1728,2016,72%,U.S.A.,3, ,Domincan Republic,,,,
Molucca,La Red,1614,2015,70%,U.S.A.,3, ,Domincan Republic,,,,
Mutari,"Oko Caribe, batch 1 SRB",1896,2016,71%,U.S.A.,2.75, ,Domincan Republic,,,,
Potomac,"Oko Caribe, Duarte Province, 2016 H.",1820,2016,70%,U.S.A.,3.75, ,Domincan Republic,,,,
Starchild,Hispaniola,1692,2015,70%,U.S.A.,3, ,Domincan Republic,,,,
Terroir,Oko Caribe,1554,2015,70%,U.S.A.,3.5, ,Domincan Republic,,,,
twenty-four blackbirds,Oko Caribe,1700,2015,75%,U.S.A.,2.75, ,Domincan Republic,,,,
Vivra,Dominican Republic,1724,2016,70%,U.S.A.,3, ,Domincan Republic,,,,
Zak's,"Dominican Republic, Batch D2",1578,2015,70%,U.S.A.,3.25, ,Domincan Republic,,,,
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,Domincan Republic, Bali,,,
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic,,,,
Bright,Marabel Farms,1231,2014,70%,Australia,3.5, ,Dominican Republic,,,,
"Smooth Chocolator, The","Oko Caribe, DOR005",1940,2017,70%,Australia,3.5, ,Dominican Republic,,,,
Zotter,"Loma Los Pinos, Yacao region, D.R.",875,2012,62%,Austria,3.75, ,Dominican Republic,,,,
Zotter,Santo Domingo,879,2012,70%,Austria,3.75, ,Dominican Republic,,,,
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic,,,,
East Van Roasters,Dominican Republic,1343,2014,70%,Canada,3.75, ,Dominican Republic,,,,
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25, ,Dominican Republic,,,,
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic,,,,
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5, ,Dominican Republic,,,,
Monarque,Oko Caribe,1812,2016,72%,Canada,3.5, ,Dominican Republic,,,,
organicfair,La Red,1165,2013,72%,Canada,2.75, ,Dominican Republic,,,,
organicfair,Caribe,1165,2013,72%,Canada,3, ,Dominican Republic,,,,
Soma,"Rizek Cacao, Domin. Rep.",1019,2013,77%,Canada,3.75,Trinitario,Dominican Republic,,,,
Soma,"Elvesia P., Black Science",682,2011,70%,Canada,3.75,Forastero,Dominican Republic,,,,
Soma,Hispaniola,377,2009,70%,Canada,3,Forastero,Dominican Republic,,,,
Soma,Conacado,387,2009,70%,Canada,3,Trinitario,Dominican Republic,,,,
Soul,Dominican Republic,1932,2017,70%,Canada,3.25, ,Dominican Republic,,,,
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70%,Domincan Republic,3.5, ,Dominican Republic,,,,
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82%,Domincan Republic,3, ,Dominican Republic,,,,
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,55%,Domincan Republic,3.25, ,Dominican Republic,,,,
Kah Kow,"Rizek Cacao, Domin. Rep.",1073,2013,62%,Domincan Republic,3.25, ,Dominican Republic,,,,
Xocolat,Hispaniola,1057,2013,66%,Domincan Republic,3, ,Dominican Republic,,,,
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25, ,Dominican Republic,,,,
Cacao Barry,Santo Domingo,586,2010,70%,France,3, ,Dominican Republic,,,,
La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,66%,France,3.5, ,Dominican Republic,,,,
Michel Cluizel,Los Ancones P.,24,2006,67%,France,4, ,Dominican Republic,,,,
Pralus,Dominican Republic-Organic,280,2008,75%,France,2, ,Dominican Republic,,,,
Un Dimanche A Paris,Dominican Republic,709,2011,63%,France,3.75, ,Dominican Republic,,,,
Valrhona,"Loma Sotavento, 2013",1153,2013,64%,France,3.5, ,Dominican Republic,,,,
Valrhona,Tainori,327,2009,64%,France,3.75, ,Dominican Republic,,,,
Szanto Tibor,Santo Domingo,939,2012,70%,Hungary,3.25, ,Dominican Republic,,,,
Holy Cacao,Hispaniola,431,2009,70%,Israel,2.75, ,Dominican Republic,,,,
Holy Cacao,Hispaniola w/ nibs,431,2009,75%,Israel,3.75, ,Dominican Republic,,,,
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3, ,Dominican Republic,,,,
Maglio,Santo Domingo,308,2008,70%,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic,,,,
S.A.I.D.,Samana,615,2010,70%,Italy,3, ,Dominican Republic,,,,
Wellington Chocolate Factory,Conacado,1756,2016,70%,New Zealand,3.5,Trinitario,Dominican Republic,,,,
Manufaktura Czekolady,Grand Cru Dominican Republic,871,2012,70%,Poland,3.25, ,Dominican Republic,,,,
Felchlin,Elvesia P.,105,2006,74%,Switzerland,3,"Trinitario, Criollo",Dominican Republic,,,,
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic,,,,
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2.5, ,Dominican Republic,,,,
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5, ,Dominican Republic,,,,
Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",1113,2013,100%,U.K.,2.75, ,Dominican Republic,,,,
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70%,U.K.,3, ,Dominican Republic,,,,
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic,,,,
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Anahata,Elvesia,1259,2014,75%,U.S.A.,3, ,Dominican Republic,,,,
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3, ,Dominican Republic,,,,
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5, ,Dominican Republic,,,,
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic,,,,
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75, ,Dominican Republic,,,,
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3, ,Dominican Republic,,,,
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75, ,Dominican Republic,,,,
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75, ,Dominican Republic,,,,
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3,Trinitario,Dominican Republic,,,,
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3, ,Dominican Republic,,,,
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25, ,Dominican Republic,,,,
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75, ,Dominican Republic,,,,
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5, ,Dominican Republic,,,,
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75, ,Dominican Republic,,,,
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic,,,,
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3, ,Dominican Republic,,,,
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75, ,Dominican Republic,,,,
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25, ,Dominican Republic,,,,
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic,,,,
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic,,,,
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3, ,Dominican Republic,,,,
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3, ,Dominican Republic,,,,
Dalloway,"Dominican Republic, batch 7",1928,2017,72%,U.S.A.,2.75, ,Dominican Republic,,,,
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Dandelion,"Elvesia, 2011",915,2012,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Dandelion,Dominican Republic,654,2011,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Davis,Rainforest,1093,2013,70%,U.S.A.,2.75, ,Dominican Republic,,,,
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3.5, ,Dominican Republic,,,,
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5, ,Dominican Republic,,,,
Dick Taylor,La Red,769,2011,74%,U.S.A.,3, ,Dominican Republic,,,,
Dulcinea,Dominican Republic,1506,2015,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Ethereal,Dominican Republic,1275,2014,80%,U.S.A.,3.75, ,Dominican Republic,,,,
Finca,Dominican Republic,1283,2014,80%,U.S.A.,3, ,Dominican Republic,,,,
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Finca,Dominican Republic,1287,2014,85%,U.S.A.,2.5, ,Dominican Republic,,,,
French Broad,La Red,785,2011,65%,U.S.A.,3.5, ,Dominican Republic,,,,
Fresco,"Conacado, #223, MR, SC",1030,2013,72%,U.S.A.,3.25, ,Dominican Republic,,,,
Fresco,"Conacado, #224, MR, MC",1081,2013,72%,U.S.A.,3.75, ,Dominican Republic,,,,
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5, ,Dominican Republic,,,,
Fresco,"Conacado, #213, DR, -C",682,2011,72%,U.S.A.,3.25, ,Dominican Republic,,,,
Fruition,La Red,1046,2013,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Indaphoria,La Red,821,2012,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Indaphoria,"Conacado, Manifesto",907,2012,70%,U.S.A.,2.75, ,Dominican Republic,,,,
Isidro,Dominican Republic,1279,2014,72%,U.S.A.,3.25, ,Dominican Republic,,,,
Izard,"Elvesia P., Batch 32",1546,2015,70%,U.S.A.,2.75, ,Dominican Republic,,,,
Kerchner,"La Red, Project Reserva, Guaconejo",1133,2013,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Kiskadee,"La Red, Guanconjeco",1251,2014,60%,U.S.A.,3,Trinitario,Dominican Republic,,,,
Kto,Elvesia,1426,2014,72%,U.S.A.,3.25, ,Dominican Republic,,,,
Kto,ROIG,1426,2014,72%,U.S.A.,3.25, ,Dominican Republic,,,,
Kyya,Hispaniola,1359,2014,72.50%,U.S.A.,3, ,Dominican Republic,,,,
L.A. Burdick (Felchlin),Dominican Republic,576,2010,74%,U.S.A.,3.75, ,Dominican Republic,,,,
Lillie Belle,"The Other One, Grand Cru",947,2012,74%,U.S.A.,3, ,Dominican Republic,,,,
Madre,Dominican,672,2011,70%,U.S.A.,2.5, ,Dominican Republic,,,,
Mana,Conacado,821,2012,74%,U.S.A.,3.75, ,Dominican Republic,,,,
Map Chocolate,"ROIG, 2014",1474,2015,70%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic,,,,
Marsatta,Dominican Republic,1189,2013,74%,U.S.A.,2.25, ,Dominican Republic,,,,
Marsatta,Dominican Republic,1189,2013,89%,U.S.A.,2.5, ,Dominican Republic,,,,
Mast Brothers,Conacado,777,2011,73%,U.S.A.,3.25, ,Dominican Republic,,,,
Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74%,U.S.A.,3.75, ,Dominican Republic,,,,
Mast Brothers,"Dominican Republic, Coop",572,2010,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Maverick,Elvesia,1367,2014,70%,U.S.A.,3.25, ,Dominican Republic,,,,
Meadowlands,Dominican Republic,1291,2014,70%,U.S.A.,3.5, ,Dominican Republic,,,,
Middlebury,Oko Caribe,1490,2015,75%,U.S.A.,3.75, ,Dominican Republic,,,,
Middlebury,La Red,1117,2013,75%,U.S.A.,2.5, ,Dominican Republic,,,,
Nathan Miller,Hispaniola,1403,2014,70%,U.S.A.,2.5, ,Dominican Republic,,,,
Nibble,Elvesia P.,1526,2015,72%,U.S.A.,2.75,Trinitario,Dominican Republic,,,,
Nuance,La Red,1470,2015,70%,U.S.A.,3.75, ,Dominican Republic,,,,
Olive and Sinclair,Dominican Republic prototype,486,2010,72%,U.S.A.,3, ,Dominican Republic,,,,
Parliament,Oko Caribe,1255,2014,70%,U.S.A.,3.5, ,Dominican Republic,,,,
Peppalo,Dominican Republic,1454,2015,82%,U.S.A.,3, ,Dominican Republic,,,,
Pomm (aka Dead Dog),"La Red, 2011",829,2012,76%,U.S.A.,2.5, ,Dominican Republic,,,,
Raaka,La Red,785,2011,85%,U.S.A.,3.5, ,Dominican Republic,,,,
Rogue,"Hispaniola, 2013",1081,2013,70%,U.S.A.,3.5, ,Dominican Republic,,,,
Rogue,"Hispaniola, 2008",213,2008,70%,U.S.A.,2.75, ,Dominican Republic,,,,
Shark Mountain,ROIG,1466,2015,74%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic,,,,
Spagnvola,AgroCriso Plantation,793,2012,70%,U.S.A.,3, ,Dominican Republic,,,,
Spagnvola,AgroCriso Plantation,793,2012,80%,U.S.A.,3, ,Dominican Republic,,,,
Spagnvola,AgroCriso Plantation,793,2012,75%,U.S.A.,3.25, ,Dominican Republic,,,,
Spencer,Dominican Republic,1932,2017,70%,U.S.A.,3.75, ,Dominican Republic,,,,
SRSLY,Dominican Republic,1113,2013,70%,U.S.A.,3, ,Dominican Republic,,,,
SRSLY,Dominican Republic,1121,2013,84%,U.S.A.,2.25, ,Dominican Republic,,,,
Tabal,Dominican Republic,1101,2013,70%,U.S.A.,2.75, ,Dominican Republic,,,,
Taza,"Dark, Stone Ground",180,2007,70%,U.S.A.,3, ,Dominican Republic,,,,
Tejas,Presidio,805,2012,70%,U.S.A.,3.5, ,Dominican Republic,,,,
Tocoti,Dominican Republic,789,2011,74%,U.S.A.,3, ,Dominican Republic,,,,
Treehouse,Conacado,1239,2014,72%,U.S.A.,3, ,Dominican Republic,,,,
twenty-four blackbirds,Dominican Republic,1022,2013,68%,U.S.A.,3.25, ,Dominican Republic,,,,
twenty-four blackbirds,Dominican Republic,753,2011,73%,U.S.A.,2.75, ,Dominican Republic,,,,
Undone,Nourish,1438,2014,70%,U.S.A.,3, ,Dominican Republic,,,,
Videri,Dominican Republic,1211,2014,90%,U.S.A.,3.25, ,Dominican Republic,,,,
Woodblock,La Red,769,2011,70%,U.S.A.,3.5, ,Dominican Republic,,,,
Xocolla,"Hispaniola, batch 170104",1948,2017,70%,U.S.A.,2.5, ,Dominican Republic,,,,
Soma,Black Science Blend 1,607,2010,70%,Canada,3.75,"Trinitario, Nacional",Domincan Republic, Ecuador, Peru,,
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88%,Argentina,2.75,Forastero (Nacional),Ecuador,,,,
Salgado,Esmeraldas,288,2008,70%,Argentina,3.5,Forastero (Nacional),Ecuador,,,,
Salgado,Rio Arriba,292,2008,70%,Argentina,3.5,Forastero (Arriba) ASSS,Ecuador,,,,
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5, ,Ecuador,,,,
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70%,Australia,4,Criollo,Ecuador,,,,
"Smooth Chocolator, The",Camino Verde,1622,2015,72%,Australia,4, ,Ecuador,,,,
Spencer,"Ecuador, lot E432314L",1792,2016,70%,Australia,3.75, ,Ecuador,,,,
Zart Pralinen,UNOCACE,1824,2016,70%,Austria,2.75,Nacional (Arriba),Ecuador,,,,
Zotter,El Oro,879,2012,75%,Austria,3,Forastero (Nacional),Ecuador,,,,
Belcolade,Ecuador,586,2010,71%,Belgium,3.5, ,Ecuador,,,,
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador,,,,
Callebaut,Baking,141,2007,70%,Belgium,1, ,Ecuador,,,,
Pierre Marcolini,"Los Rios, Puerto Romero, Equateur",129,2007,72%,Belgium,3.75,Forastero (Nacional),Ecuador,,,,
organicfair,Mindo,1165,2013,72%,Canada,3,Trinitario,Ecuador,,,,
Palette de Bine,"Camino Verde P., Balao, Guayas",1303,2014,75%,Canada,2.75, ,Ecuador,,,,
Sirene,"Esmeraldas, Salazar Farm",1860,2016,73%,Canada,3.75, ,Ecuador,,,,
Sirene,"Camino Verde P., Balao, Guayas, 2012",1506,2015,100%,Canada,3, ,Ecuador,,,,
Sirene,"Camino Verde P., Balao, Guayas",1343,2014,73%,Canada,3.75, ,Ecuador,,,,
Soma,"Camino Verde, Black S., batch cvu6030.0",1832,2016,70%,Canada,3.25, ,Ecuador,,,,
Soma,"Camino Verde P., Balao, Guayas",1307,2014,80%,Canada,3.5,Forastero (Nacional),Ecuador,,,,
Soul,Ecuador,1936,2017,75%,Canada,3.25, ,Ecuador,,,,
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador,,,,
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3,Forastero (Arriba),Ecuador,,,,
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador,,,,
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador,,,,
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador,,,,
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5,Forastero (Arriba),Ecuador,,,,
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Forastero (Arriba),Ecuador,,,,
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Forastero (Arriba),Ecuador,,,,
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2,Forastero (Arriba),Ecuador,,,,
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2.5,Forastero (Arriba),Ecuador,,,,
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,2.75,Forastero (Arriba),Ecuador,,,,
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador,,,,
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25,Forastero (Arriba),Ecuador,,,,
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5,Forastero (Arriba),Ecuador,,,,
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,2.75,Forastero (Arriba),Ecuador,,,,
Chchukululu (Tulicorp),Los Rios,252,2008,75%,Ecuador,3,Forastero (Arriba),Ecuador,,,,
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55%,Ecuador,2.75,Trinitario,Ecuador,,,,
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3,Trinitario,Ecuador,,,,
Hoja Verde (Tulicorp),Arriba,414,2009,80%,Ecuador,2,Forastero (Arriba) ASS,Ecuador,,,,
Hoja Verde (Tulicorp),Manabi,414,2009,80%,Ecuador,2.5,Forastero (Arriba) ASS,Ecuador,,,,
Hoja Verde (Tulicorp),Arriba,414,2009,72%,Ecuador,3,Forastero (Arriba) ASS,Ecuador,,,,
Hoja Verde (Tulicorp),Arriba,414,2009,58%,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador,,,,
Hoja Verde (Tulicorp),Manabi,414,2009,58%,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador,,,,
